DOI,Check
10.1016/j.chemosphere.2011.12.018,ok
10.2166/wst.2012.290,ok
10.1016/j.scitotenv.2012.06.031,exclude
10.1007/s11270-010-0532-8,ok
10.1007/s12665-009-0088-3,exclude
10.3390/w13030262,exclude
10.1016/j.envpol.2020.115387,exclude
10.1016/j.chemosphere.2016.03.136,exclude
10.1016/j.scitotenv.2016.06.090,exclude
10.1016/j.scitotenv.2004.02.004,ok
10.2166/wst.2004.0130,exclude
10.1016/j.watres.2003.10.058,exclude
10.1071/en04008,exclude
10.1016/j.scitotenv.2019.03.073,exclude
10.1016/j.jenvman.2022.115703,exclude
10.1016/j.chemosphere.2022.133945,ok
10.1016/j.chemosphere.2022.134395,exclude
10.3390/w14101560,ok
10.1371/journal.pone.0206004,exclude
10.1016/j.chemosphere.2018.01.154,exclude
10.1016/j.scitotenv.2018.10.016,exclude